"","lat","lon","countyId","y","X","C","e"
"4073",44.5,-91.9,23,5.15371986794043,2.40038925513954,-1.18038582985534,6.3363199128613
"1624",34.7,-96.7,138,31.5214164614831,0.59130234559431,6.14685102670165,18.2937260387887
"9329",35.7,-81.3,86,21.2362902214226,-2.98437563047299,3.06784539390569,16.405377734676
"8627",35.3,-82.7,88,12.8502164388529,1.69830900148829,1.89457377737117,7.95452464556972
"5130",35.9,-89.7,78,-3.96062283086118,3.33345183070838,-1.37779535776534,-2.86731656813648
"5754",40.7,-88.5,77,-1.84826941694418,-2.1001240934818,-2.89269809765341,5.36046359860814
"888",47.5,-98.3,143,-11.0268673535207,0.57332859575581,-1.16680157825259,-8.88618148089834
"6015",32.9,-87.9,51,-18.1180555553039,0.894622707788248,-0.980495804407968,-16.5421106282528
"7949",39.7,-84.1,35,-12.2753843626574,-2.69553591494139,-1.27618923763087,-8.13979756956426
"5140",37.9,-89.7,60,18.2096425781575,0.739715548533994,2.79703913968974,11.9364139886007
"6637",37.3,-86.7,110,18.091081051106,-4.3234270795337,1.87688594825213,16.4842711827248
"5735",36.9,-88.5,150,-26.6067132856137,1.74510154521642,0.0503928372456449,-27.6548930782465
"3283",46.5,-93.5,130,30.8130579045531,1.75832783613508,3.92246136097521,21.6263920149922
"8683",46.5,-82.7,36,30.663538322041,-2.99330540070465,-0.719703310237005,33.7913001899192
"5293",48.5,-89.5,115,-8.47206658239533,-3.33744310262163,-1.1764688261007,-4.19926277216817
"6962",42.3,-86.1,137,17.3273859058089,2.07821826176312,-0.127211201919924,16.4722915684886
"7778",45.5,-84.5,116,15.690913011318,-0.0719126400636009,-1.81722265061093,19.5459134032353
"7808",31.5,-84.3,71,-17.7333433132317,-1.19152489601632,0.139781466008264,-17.3834609480002
"743",38.5,-98.5,45,18.4110004013965,3.07408866249816,2.35589705801586,11.8036087018142
"9725",34.9,-80.5,86,34.6989177587151,0.885665704123383,3.89420095195027,26.0428362793929
"6380",45.9,-87.3,101,24.2465842652973,1.64708711707738,3.35718473166985,16.3070692855688
"3097",49.3,-93.9,25,18.0660428688396,-2.73176561463467,2.73369197165957,13.8004431602572
"8177",45.3,-83.7,116,27.3406689921754,-1.69137841871472,-3.60568900538285,35.8259602495853
"2779",45.7,-94.5,48,6.67670061066791,-2.59144007748372,-1.20490674005024,10.6063824066146
"225",34.9,-99.5,111,-25.442624336047,-0.33613270317274,-2.64785335663794,-19.7006206273941
"1375",44.9,-97.3,107,0.0899963992822332,-1.17510916859933,-0.752737853268386,2.30530484218948
"3215",32.9,-93.5,113,10.7705192438746,0.49395827965957,0.504868179253413,9.44355859642625
"6496",49.1,-87.1,114,9.82373795675259,0.46461344507826,0.668973667809378,8.16800199401063
